redump_title,title,localized_title,serial
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),,,SLPS-02812
A Sangre Fria (Spain) (Disc 1),A Sangre Fria (Disc 1),,SCES-02153
A Sangre Fria (Spain) (Disc 2),A Sangre Fria (Disc 2),,SCES-12153
A Sangue Freddo (Italy) (Disc 1),A Sangue Freddo (Disc 1),,SCES-02152
A Sangue Freddo (Italy) (Disc 2),A Sangue Freddo (Disc 2),,SCES-12152
"A.IV - Evolution Global (Europe) (En,Ja,Fr,De)",A.IV - Evolution Global,,SCES-00290
A2 Racer - Europa Tour (Netherlands),A2 Racer - Europa Tour,,SLES-02695
"A5 - A Ressha de Ikou 5 (Japan, Asia)",A5 - A Ressha de Ikou 5,Ａ５　Ａ列車で行こう５,SLPS-01120
"A5 - A Ressha de Ikou 5 (Japan, Asia)",,,SCPS-45153
"A5 - A Ressha de Ikou 5 (Japan, Asia)",A5 - A Ressha de Ikou 5 [Playstation The Best],,SLPS-91124
AbalaBurn (Japan),AbalaBurn,アバラバーン,SLPS-01280
Abe '99 (Japan) (Disc 1),Abe '99 (Disc 1),エイブ’９９ (DISC 1),SLPS-02095
Abe '99 (Japan) (Disc 2),Abe '99 (Disc 2),エイブ’９９ (DISC 2),SLPS-02096
Abe a GoGo (Japan),Abe a GoGo,エイブ・ア・ゴーゴー,SLPS-01118
Abe a GoGo (Japan) (Demo),Abe a GoGo (Demo),エイブ・ア・ゴーゴー,SLPM-80175
"Absolute Football (France) (En,Fr,De,Es,It,Pt)",Absolute Football,,SLES-01341
Ace Combat (Japan),Ace Combat,エースコンバット,SLPS-00061
Ace Combat (Japan),,,SLPS-91005
Ace Combat 2 (Europe),Ace Combat 2,,SCES-00699
Ace Combat 2 (France),Ace Combat 2,,SCES-00901
Ace Combat 2 (Germany),Ace Combat 2,,SCES-00902
Ace Combat 2 (Japan),Ace Combat 2,エースコンバット２,SLPS-00830
Ace Combat 2 (Japan) (Rev 1),Ace Combat 2,エースコンバット２,SLPS-00830
Ace Combat 2 (Japan) (Rev 1),,,SLPS-91146
Ace Combat 2 (USA),Ace Combat 2,,SLUS-00404
Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan),Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc,エースコンバット３　エレクトロスフィア　ダイレクト・オーディオ　ｗｉｔｈ　ＡｐｐｅｎＤｉｓｃ,SLPM-80453
"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)",Ace Combat 3 - Electrosphere,,SCES-02066
Ace Combat 3 - Electrosphere (Japan) (Disc 1),Ace Combat 3 - Electrosphere (Disc 1),エースコンバット３　エレクトロスフィア (DISC 1),SLPS-02020
Ace Combat 3 - Electrosphere (Japan) (Disc 1),,,SLPS-91214
Ace Combat 3 - Electrosphere (Japan) (Disc 2),Ace Combat 3 - Electrosphere (Disc 2),エースコンバット３　エレクトロスフィア (DISC 2),SLPS-02021
Ace Combat 3 - Electrosphere (Japan) (Disc 2),,,SLPS-91215
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",Ace Combat 3 - Electrosphere (Disc 1),エースコンバット３　エレクトロスフィア (DISC 1),SLPS-02020
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",,,SCPS-45397
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",Ace Combat 3 - Electrosphere (Disc 2),エースコンバット３　エレクトロスフィア (DISC 2),SLPS-02021
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",,,SCPS-45398
Ace Combat 3 - Electrosphere (USA),Ace Combat 3 - Electrosphere,,SLUS-00972
Aces of the Air (USA),Aces of the Air,,SLUS-01470
Acid (Japan),Acid,アシッド,SLPS-02119
Acid (Japan) (Demo),Acid (Demo),アシッド,SLPM-80430
Acid (Japan) (Major Wave),Acid (Major Wave),アシッド,SLPM-86589
Aconcagua (Japan) (Disc 1),Aconcagua (Disc 1),アコンカグア (DISC 1),SCPS-10131
Aconcagua (Japan) (Disc 2),Aconcagua (Disc 2),アコンカグア (DISC 2),SCPS-10132
Action Bass (Europe),Action Bass,,SLES-03105
Action Bass (Japan),Action Bass,アクション・バス,SLPM-86927
Action Bass (USA),Action Bass,,SLUS-01248
"Action Man - Destruction X (Europe) (En,Fr,De,Es,It)",Action Man - Destruction X,,SLES-03083
"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",Action Man - Mission Xtreme,,SLES-01761
"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi) (EDC)",Action Man - Mission Xtreme,,SLES-01761
Action Man - Operation Extreme (USA),Action Man - Operation Extreme,,SLUS-00887
Activision Classics (USA),Activision Classics,,SLUS-00777
"Actua Golf (Europe) (En,Fr,De)",Actua Golf,,SLES-00015
Actua Golf (Japan),Actua Golf,アクチャー・ゴルフ,SLPS-00298
Actua Golf 2 (Europe),Actua Golf 2,,SLES-00044
Actua Golf 3 (Europe),Actua Golf 3,,SLES-01042
"Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)",Actua Ice Hockey,,SLES-00188
Actua Ice Hockey (Japan),Actua Ice Hockey,アクチュア・アイスホッケー,SLPM-86078
Actua Ice Hockey 2 (Europe),Actua Ice Hockey 2,,SLES-01226
Actua Pool (Europe),Actua Pool,,SLES-01647
Actua Soccer - Club Edition (Europe),Actua Soccer - Club Edition,,SLES-00190
"Actua Soccer (Europe) (En,Fr)",Actua Soccer,,SLES-00014
"Actua Soccer (Europe) (En,Fr) (Rev 1)",Actua Soccer,,SLES-00014
Actua Soccer (Japan),Actua Soccer,アクチャーサッカー,SLPS-00297
"Actua Soccer 2 (Europe) (En,Fr)",Actua Soccer 2,,SLES-00021
"Actua Soccer 2 (Germany) (En,De)",Actua Soccer 2,,SLES-01029
Actua Soccer 2 (Italy),Actua Soccer 2,,SLES-01028
Actua Soccer 3 (Europe),Actua Soccer 3,,SLES-01210
Actua Soccer 3 (France),Actua Soccer 3,,SLES-01644
Actua Soccer 3 (Germany),Actua Soccer 3,,SLES-01645
Actua Soccer 3 (Italy),Actua Soccer 3,,SLES-01646
Actua Tennis (Europe),Actua Tennis,,SLES-00265
"Actua Tennis (Europe) (Fr,De)",Actua Tennis,,SLES-01396
Addie no Okurimono - To Moze from Addie (Japan),Addie no Okurimono - To Moze from Addie,アディのおくりもの　～ＴＯ　ＭＯＺＥ　ＦＲＯＭ　ＡＤＤＩＥ～,SCPS-10126
Addie no Okurimono - To Moze from Addie (Japan) (Demo),Addie no Okurimono - To Moze from Addie (Demo),アディのおくりもの　－ＴＯ　ＭＯＺＥ　ＦＲＯＭ　ＡＤＤＩＥ－,PAPX-90105
"Adiboo & Paziral's Secret (Europe) (En,Fr,De,Es,It)",Adiboo & Paziral's Secret,,SLES-04108
Adibou et l'Ombre Verte (France),Adibou et L'Ombre Verte,,SCES-03558
"Adidas Power Soccer (Europe) (En,Fr,De,Es,It)",Adidas Power Soccer,,SLES-00189
"Adidas Power Soccer (UK) (En,Fr,De,Es,It) (Demo)",Adidas Power Soccer (Demo),,SLES-00066
Adidas Power Soccer (USA),Adidas Power Soccer,,SCUS-94502
Adidas Power Soccer + Resident Evil + Shellshock + Descent (Europe),Euro Demo 08 (SCED-00360),,SCED-00360
Adidas Power Soccer 2 (Europe) (Demo),Adidas Power Soccer 2 (Demo),,SLED-00179
"Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)",Adidas Power Soccer 2,,SLES-00857
"Adidas Power Soccer 98 (Europe) (En,Fr,De,Es,It,Nl)",Adidas Power Soccer 98,,SLES-01239
Adidas Power Soccer 98 (France) (Demo),Adidas Power Soccer 98 (Demo),,SLED-01310
Adidas Power Soccer 98 (Germany) (Demo),Adidas Power Soccer 98 (Demo),,SLED-01311
Adidas Power Soccer 98 (USA),Adidas Power Soccer 98,,SLUS-00547
"Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)",Adidas Power Soccer International '97,,SLES-00270
Adlib Ouji - ...to Fuyukai na Nakama-tachi! (Japan),Adlib Ouji - ...to Fuyukai na Nakamatachi!,,SLPS-03510
Advan Racing (Japan),Advan Racing,アドバン・レーシング,SLPS-01689
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (Europe),Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft,,SLES-00386
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA),Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft,,SLUS-00378
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA) (Demo),Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (Demo),,SLUS-00212
Advanced V.G. (Japan),Advanced V.G.,アドヴァンストＶＧ,SLPS-00208
Advanced V.G. (Japan) (Demo),Advanced V.G. (Demo),アドヴァンストＶＧ,SLPM-80017
Advanced V.G. 2 (Japan),Advanced V.G. 2,アドヴァンストＶＧ２,SLPS-01318
Advanced V.G. 2 (Japan) (Demo),,,SLPM-80311
Adventures of Lomax + Porsche Challenge + Pandemonium + Tomb Raider + 2 Xtreme + Reloaded (France),Euro Demo 06,,SCED-00610
"Adventures of Lomax, The (USA)",The Adventures of Lomax,,SCUS-94906
Aerodive (Japan),Aerodive,エアロダイブ,SLPS-02367
Affect Taikenban Vol. 1 (Japan),Affect Taikenban Vol. 1,アフェクト　体験版　Ｖｏｌ．１,SLPM-80552
AFL 99 (Australia),AFL 99,,SLES-01875
Afraid Gear (Japan),Afraid Gear,アフレイド・ギア,SLPS-00995
Afraid Gear Another (Japan),Afraid Gear Another,アフレイドギア・アナザ,SLPM-86834
Agent Armstrong - Himitsu Shirei Daisakusen (Japan),Agent Armstrong - Himitsu Shirei Daisakusen,エージェント・アームストロング　～秘密指令大作戦～,SLPS-01073
"Agent Armstrong (Europe) (En,Fr,De,Es)",Agent Armstrong,,SLES-00474
Agile Warrior - F-111X (Europe),Agile Warrior - F-111X,,SLES-00124
Agile Warrior - F-111X (Japan),Agile Warrior - F-111X,アジャイル・ウォーリアー,SLPS-00179
Agile Warrior - F-111X (USA),Agile Warrior - F-111X,,SLUS-00023
Aging Disk (Japan),Aging Disk,,PTPX-97002
AI Mahjong 2000 (Japan),AI Mahjong 2000,ＡＩ麻雀２０００,SLPS-02411
AI Mahjong Selection (Japan),AI Mahjong Selection,ＡＩ麻雀セレクション,SLPM-87117
AI Shougi (Japan),AI Shougi,ＡＩ将棋,SLPS-00109
AI Shougi 2 (Japan),AI Shougi 2,ＡＩ将棋２,SLPS-01159
AI Shougi 2 Deluxe (Japan),AI Shougi 2 Deluxe,ＡＩ将棋２デラックス,SLPS-02285
AI Shougi Selection (Japan),AI Shougi Selection,ＡＩ将棋ＳＥＬＥＣＴＩＯＮ,SLPM-87068
Ai to Yuujou no Neko Monogatari. Jingle Cats - Love Para Daisakusen no Maki (Japan),Ai to Yuujou no Neko Monogatari. - Jingle Cats - Love Para Daisakusen no Maki,,SLPS-01409
Air Combat (Europe),Air Combat,,SCES-00007
Air Combat (Europe) (EDC),Air Combat,,SCES-00007
Air Combat (USA),Air Combat,,SLUS-00001
Air Hockey (Europe),Air Hockey,,SLES-03743
Air Hockey (USA),Air Hockey,,SLUS-01467
Air Management '96 (Japan),Air Management '96,エアー・マネジメント’９６,SLPS-00269
Air Race (Europe),Air Race,,SLES-00762
AirAssault - The Red Mercury Missions (Japan),AirAssault - The Red Mercury Missions,エア・アサルト,SIPS-60005
AirAssault - The Red Mercury Missions (Japan) (Demo),AirAssault - The Red Mercury Missions (Demo),エア・アサルト,PCPX-96041
AirGrave (Japan),AirGrave,エアグレイブ,SLPS-00559
"Aironauts (Europe) (En,Fr,De)",Aironauts,,SLES-02137
AirRace Championship (Japan),AirRace Championship,エアレース・チャンピオンシップ,SLPS-01879
"Airs, The (Japan)",The Airs,エアーズ,SLPS-01916
Aishiau Koto Shika Dekinai (Japan),Aishiau Koto Shika Dekinai,愛しあう事しかできない,SLPS-01096
Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc (Japan),Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc,あいたくて…　おろしたてのダイアリージャンル,SLPM-80162
Aitakute... - Your Smiles in My Heart (Japan) (Disc 1),Aitakute... - Your Smiles in My Heart (Disc 1),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 1),SLPM-86254
Aitakute... - Your Smiles in My Heart (Japan) (Disc 2),Aitakute... - Your Smiles in My Heart (Disc 2),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 2),SLPM-86255
Aitakute... - Your Smiles in My Heart (Japan) (Disc 3),Aitakute... - Your Smiles in My Heart (Disc 3),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 3),SLPM-86256
Aitakute... - Your Smiles in My Heart (Japan) (Disc 4),Aitakute... - Your Smiles in My Heart (Disc 4),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 4),SLPM-86257
Akagawa Jirou - Majo-tachi no Nemuri - Fukkatsusai (Japan),Akagawa Jiro - Majo Tachi no Nemuri - Fukkatsusai,,SLPS-01863
Akagawa Jirou - Yasoukyoku (Japan),,,SLPS-01462
Akagawa Jirou - Yasoukyoku (Japan),,,SLPS-91151
Akagawa Jirou - Yasoukyoku (Japan),Akagawa Jiro - Yasoukyoku,,SLPS-91503
Akagawa Jirou - Yasoukyoku (Japan) (Shokai Genteiban),Akagawa Jiro - Yasoukyoku (Shokai Genteiban),,SLPS-01415
Akagawa Jirou - Yasoukyoku 2 (Japan),Akagawa Jiro - Yasoukyoku 2,,SLPS-03213
Akazu no Ma (Japan),Akazu no Ma,あかずの間,SLPS-00619
"Akuji the Heartless (Europe) (En,Fr,De)",Akuji the Heartless,,SLES-01298
Akuji the Heartless (USA),Akuji the Heartless,,SLUS-00715
Akumajou Dracula X - Gekka no Yasoukyoku (Japan),Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～,SLPM-86023
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 1),Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～,SLPM-86023
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～,SLPM-86073
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),,,SLPM-87328
Albaria no Otome - Uruwashi no Seikishitachi (Japan),Albaria no Otome - Uruwashi no Seikishitachi,アルバレアの乙女　～麗しの聖騎士たち～,SLPS-01578
Alex Ferguson's Player Manager 2001 (Europe),Alex Ferguson's Player Manager 2001,,SLES-03150
Alex Ferguson's Player Manager 2002 (Europe),Alex Ferguson's Player Manager 2002,,SLES-03775
Alexandra Ledermann 2 - Equitation Competition (France),Alexandra Ledermann 2 - Equitation Competition,,SLES-03290
"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)",Alexi Lalas International Soccer,,SLUS-00872
Alfred Chicken (Europe) (Beta) (2001-12-03),Alfred Chicken (Proto),,SLES-12345
Alfred Chicken (Europe) (Beta) (2002-02-07),Alfred Chicken,,SCES-03817
"Alfred Chicken (Europe) (En,Fr,De,Es,It)",Alfred Chicken,,SCES-03817
Alice in Cyberland (Japan),Alice in Cyberland,ありす　イン　サイバーランド,SLPS-00636
"Alien Resurrection (Europe) (En,Fr,De,Es,It)",Alien Resurrection,,SLES-02913
Alien Resurrection (USA),Alien Resurrection,,SLUS-00633
"Alien Trilogy (Europe) (En,Fr,Es,It)",Alien Trilogy,,SLES-00101
Alien Trilogy (France) (Demo),Alien Trilogy (Demo),,SLES-00288
Alien Trilogy (Germany),Alien Trilogy,,SLES-00246
Alien Trilogy (Japan),Alien Trilogy,エイリアン・トリロジー,SLPS-00332
Alien Trilogy (USA),Alien Trilogy,,SLUS-00007
Alive (Japan) (Disc 1),Alive (Disc 1),アライブ (DISC 1),SLPS-01527
Alive (Japan) (Disc 2),Alive (Disc 2),アライブ (DISC 2),SLPS-01528
Alive (Japan) (Disc 3),Alive (Disc 3),アライブ (DISC 3),SLPS-01529
All Music Dance! (Italy),All Music Dance!,,SLES-04162
All Star Action (Europe) (Disc 1),All Star Action (Disc 1),,SLES-04107
All Star Action (Europe) (Disc 2),All Star Action (Disc 2),,SLES-14107
All Star Boxing (Europe),All Star Boxing,,SLES-03958
All Star Racing (Europe),All Star Racing,,SLES-03740
All Star Racing (USA),All Star Racing,,SLUS-01460
All Star Racing 2 (Europe),All Star Racing 2,,SLES-03933
All Star Racing 2 (USA),All Star Racing 2,,SLUS-01510
"All Star Soccer (Europe) (En,Fr,De,It)",All Star Soccer,,SLES-00747
All Star Tennis (Europe),All Star Tennis,,SLES-03963
"All Star Tennis 2000 (Europe) (En,De,Es,It)",All Star Tennis 2000,,SLES-02764
All Star Tennis 2000 (France),All Star Tennis 2000,,SLES-02765
All Star Tennis '99 (Europe) (Demo),All Star Tennis '99 (Demo),,SLED-01560
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",All Star Tennis '99,,SLES-01433
All Star Tennis '99 (Japan),All Star Tennis '99,オールスターテニス´９９,SLPS-01962
All Star Watersports (Europe),All Star Watersports,,SLES-04060
Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata (Italy),Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata,,SLES-02984
Allied General (Europe),Allied General,,SLES-00417
"Allied General (Japan) (En,Ja)",Allied General,,SLPS-00843
Allied General (USA),Allied General,,SLUS-00303
All-Star Baseball 97 featuring Frank Thomas (USA),All-Star Baseball 97 featuring Frank Thomas,,SLUS-00392
All-Star Mahjong - Karei naru Shoubushi kara no Chousen (Japan),All-Star Mahjong - Karei naru Shoubushi kara no Chousen,オールスター麻雀　～華麗なる勝負師からの挑戦～,SLPS-00993
All-Star Slammin' D-Ball (USA),All-Star Slammin' D-Ball,,SLUS-01431
