redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
"Bermuda Triangle (Europe) (En,Fr,De,Es,It)",RVL-SBEP-EUR-B0,,,,
"Beyblade - Metal Fusion - Battle Fortress (USA) (En,Fr,Es)",RVL-SBBE-USA-B0,,,,
"Beyblade - Metal Fusion - Battle Fortress (USA) (En,Fr,Es) (Demo)",RVL-DBBE-USA-B0,,,,
"Beyblade - Metal Fusion - Counter Leone (Europe) (En,Ja,Fr,De,Es,It)",RVL-SBBP-EUR-B0,,,,
Bibi & Tina - Das grosse Reiterfest (Germany),RVL-SA9D-GER-B0,,,,
Bibi Blocksberg - Das grosse Hexenbesen-Rennen 2 (Germany),RVL-SOBD-GER-B0,,,,
Bibi Blocksberg - Das grosse Hexenbesen-Rennen! (Germany) (Rev 1),RVL-SGWD-NOE-B0,,,,
Bienvenue chez les Ch'tis (France),RVL-RVEF-FRA,,,,
"Big Beach Sports (Europe) (En,Fr,De,Es,It,Nl)",RVL-RVVP-EUR-1, RVL-RVVP-EUR-B0,,,
"Big Beach Sports (USA) (En,Fr,Es)",RVL-RVVE-USA,,,,
"Big Beach Sports 2 (Europe, Australia) (En,Fr,De,Es,It,Nl)",RVL-SV2P-EUR-B0,,,,
Big Beach Sports 2 (USA),RVL-SV2E-USA-B0,,,,
"Big Brain Academy - Wii Degree (USA) (En,Fr,Es)",RVL-RYWE-USA,,,,
"Big Brain Academy for Wii (Europe) (En,Fr,De,Es,It)",RVL-RYWP-EUR,,,,
Big Buck Hunter Pro (USA),RVL-SBQE-USA-B0,,,,
"Big Catch - Bass Fishing (Europe) (En,Fr,De,Es,It)",RVL-RXPP-EUR,,,,
"Big Catch - Bass Fishing 2 (Europe, Australia) (En,Fr,De,Es,It)",RVL-RXNP-EUR-B0,,,,
"Big Family Games (Europe) (En,Fr,De,Es,It)",RVL-RN7P-EUR,,,,
"Big League Sports - Summer (USA) (En,Fr)",RVL-RY5E-USA-B0,,,,
"Big League Sports (USA) (En,Fr)",RVL-RLQE-USA,,,,
"Bigfoot - Collision Course (Europe) (En,Fr,De,Es,It,Nl)",RVL-RVFP-EUR-B0,,,,
Bigfoot - Collision Course (USA),RVL-RVFE-USA-B0,,,,
