redump_name,serial_1,serial_2,serial_3
Konpeki no Kantai (Japan),FZ-SJ5751,,
Konpeki no Kantai (Japan) (Rev 1),FZ-SJ5751,,
Kyuumei Kyuukyuu Teate no ABC (Japan),NBP-SK-001,,
Kyuusei Senjutsu ni Yoru - Heisei Kaiun Koyomi (Japan),FZ-SJ4051,,
"Last Bounty Hunter, The (USA)",,,
Lemmings (Japan),FZ-SJ1656,,
Lemmings (USA),,,
"Life Stage, The - Virtual House (Japan)",FZ-SJ0201,,
"Life Stage, The - Virtual House (Japan) (Rev 1)",FZ-SJ0201,,
"Life Stage, The - Virtual House (USA, Korea)",FZ-SM0201, GDT-GA 041,
"Little House, The (Japan)",MC-950101,,
Live! 3DO Magazine CD-ROM 1 (Japan),TIM-3DO 001,,
Live! 3DO Magazine CD-ROM 10 (Japan),TIM-3DO 010,,
Live! 3DO Magazine CD-ROM 11 (Japan),TIM-3DO 011,,
Live! 3DO Magazine CD-ROM 2 (Japan),TIM-3DO 002,,
Live! 3DO Magazine CD-ROM 3 (Japan),TIM-3DO 003,,
Live! 3DO Magazine CD-ROM 4 (Japan),TIM-3DO 004,,
Live! 3DO Magazine CD-ROM 5 (Japan),TIM-3DO 005,,
Live! 3DO Magazine CD-ROM 6 (Japan),TIM-3DO 006,,
Live! 3DO Magazine CD-ROM 7 (Japan),TIM-3DO 007,,
Live! 3DO Magazine CD-ROM 8 (Japan),TIM-3DO 008,,
Live! 3DO Magazine CD-ROM 9 (Japan),TIM-3DO 009,,
Lost Dungeon (Japan),FZ-SJ0157,,
"Lost Eden (USA, Europe) (Beta) (1996-02-02)",,,
"Lost Eden (USA, Korea)",GDT-EA381,,
"Lost Files of Sherlock Holmes, The (Europe)",,,
"Lost Files of Sherlock Holmes, The (USA)",,,
Love Bites (USA),,,
Lucienne's Quest (USA),FZ-SM0251,,
Mad Dog II - The Lost Gold (USA),ALG 000142,,
Mad Dog II - The Lost Gold (USA) (Arcade CD-ROM),,,
Mad Dog McCree (USA),ALG 000029,,
Mahjong Gokuu Tenjiku (Japan),FZ-SJ0901,,
Mahjong-kyou Jidai - AV Gal Seifuku-hen (Japan),MC-700,,
Mahjong-kyou Jidai Cogal Houkago-hen (Japan),MC-701,,
Makaroni Hourensou Interactive (Japan),FZ-SJ4551,,
Mathemagics - An Interactive Learning Cube (USA),,,
Mazer (USA),,,
"MegaRace (Europe) (En,Fr,De,Es,It)",/CS090047,,
MegaRace (Japan),FZ-SJ2751,,
"MegaRace (USA, Europe) (En,Fr,De,Es,It)",PR-7594,,
"MegaRace (USA, Korea) (En,Fr,De,Es,It)",GDT-GA171,,
Memory Gwanli CD (Korea) (RE),,,
Microcosm (Japan),FZ-SJ0152,,
Microcosm (USA),,,
Mind Teazzer (USA),,,
Mirai Shounen Conan - Digital Library (Japan),FZ-SJ7151,,
Monoshiri Jiyuugaku - Ogura Hyakunin Isshu-hen (Japan),FZ-SJ6851,,
Montana Jones (Japan),FZ-SJ1352,,
Montana Jones (Japan) (Demo),FZ-JJ9DSM-5A,,
Moon Cradle - Igyou no Hanayome (Japan),FZ-SJ0405,,
Multimedia Shinsho - Driving School - Futsuu Menkyo Gakka-hen (Japan),JM-DD001,,
"Murphy da yo Zen'in Shuugou!! (Japan) (En,Ja)",FZ-SJ3551,,
Myst (Germany),FZ-SG0204,,
Myst (Japan),FZ-SJ0204,,
Myst (Japan) (Rev A),FZ-SJ0204,,
Myst (USA),FZ-SM0204,,
N.O.B. (Neo Organic Bioform) (Japan),IMP-SK1203,,
Nais How's 1 - Front How's ('95.8.1 Version 1.0 R2.0) (Japan),TP-MEW02,,
"Naoko to Hide-bou - Kanji no Tensai 1 - Bushu-hen, Bushu no Namae ga Tanoshii Chou Kioku-hou (Japan)",IMP-SI0403,,
Naoko to Hide-bou - Sansuu no Tensai 1 - Wa to Sa no Bunshoudai Tsurukamezan Part I (Butsubutsu Koukan no Maki) (Japan),IMP-SI0401,,
Naoko to Hide-bou - Sansuu no Tensai 2 - Hayasa no Bunshoudai Tsuukasan Part I (Japan),IMP-SI0402,,
National-Panasonic Collection (Japan),LH-JJ73DO00,,
Nemurenu Yoru no Chiisana Ohanashi (Japan),FZ-SJ4951,,
NeuroDancer - Journey into the Neuronet! (USA),,,
New How's 1 - Front How's ('94.9.1 Version 1.0) (Japan) (Rev A),TP-MEW01,,
NFL Madden Football (Japan),FZ-SJ1652,,
Nice Body - For Professional Use (Japan),FZ-SJ5852,,
Night Trap (Japan) (Disc 1),FZ-SJ1951,,
Night Trap (Japan) (Disc 2),FZ-SJ1951,,
"Night Trap (USA, Europe) (Disc 1)",,,
"Night Trap (USA, Europe) (Disc 2)",,,
Nishimura Kyoutarou Travel Mystery - Akugyaku no Kisetsu - Tokyo Nanki Shirahama Renzoku Satsujin Jiken (Japan) (Disc 1),FZ-SJ0403-A,,
Nishimura Kyoutarou Travel Mystery - Akugyaku no Kisetsu - Tokyo Nanki Shirahama Renzoku Satsujin Jiken (Japan) (Disc 2),FZ-SJ0403-B,,
Nobunaga no Yabou - Haouden (Japan),FZ-SJ2851,,
Nontan to Issho - Hoshi no Okurimono (Japan),FZ-SJ1102,,
Nontan to Issho - Nohara de Asobo (Japan),FZ-SJ1101,,
Nova-Storm (Japan),FZ-SJ0156,,
Novastorm (USA),,,
Oceans Below (Japan),FZ-SJ2752,,
Oceans Below (USA),,,
Off-World Interceptor (Japan),FZ-SJ3151,,
Off-World Interceptor (Korea),GDT-GA241,,
"Off-World Interceptor (USA, Europe)",,,
Ogura Hyakunin Isshu (Japan),SV-0201,,
Oilman (Japan),OIL-9610,,
Olympic Games (Europe) (Demo),,,
"Olympic Soccer (USA) (En,Fr,De,Es,It)",FZ-SW0011,,
Olympic Summer Games (USA),FZ-SW0012,,
Onee-san to Issho! Janken Paradise (Japan),FZ-SJ5251,,
Onee-san to Issho! Kisekae Paradise (Japan),FZ-SJ5252,,
OnSide Soccer (USA) (Unl),,,
Orbatak (USA) (Arcade CD-ROM),,,
Oukoku no Grand Chef (Japan),FZ-SJ4252,,
Out of This World (USA),,,
Out of This World (USA) (3DO Maniac Pack) (RE),,,
Outer World (Japan),FZ-SJ3451,,
Oyaji Hunter Mahjong (Japan),IMP-SF0703,,
Paddock Note '95 (Japan),FZ-SJ5851,,
Paddock Note '95 (Japan) (Rev 1),FZ-SJ5851,,
"Panasonic 3DO Interaktiver Multiplayer Sampler Disc (Germany) (En,De)",FZ-10C2G1-AS,,
Panasonic REAL 3DO Interactive Multiplayer - Demonstration CD (USA),FZDEM1,,
Panasonic REAL 3DO Interactive Multiplayer - Sampler CD (Japan),DFJN5003ZAZ,,
Panasonic REAL 3DO Interactive Multiplayer - Sampler CD (Japan) (Rev 1),DFJN5003ZAZ,,
Panasonic REAL 3DO Interactive Multiplayer - Sampler CD (USA) (ZAZ),DFJN5001ZAZ,,
Panasonic REAL 3DO Interactive Multiplayer - Sampler CD (USA) (ZBZ),DFJN5001ZBZ,,
Panasonic REAL 3DO Interactive Multiplayer - Sampler CD for PAL System (Europe) (Rev 1),DFJN5011ZAZ,,
Panasonic REAL 3DO Interactive Multiplayer - Sampler III and 3DO Storage Manager (USA),FZDEM2SM,,
