Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,Playable_Regions,Company_Short,Hardware_ID,Maker_ID,Device_Info,Area_Symbols,Peripherals,Boot_Filename
GaiaMaster - Kessen! Seiki-ou Densetsu (Japan),GAIA MASTER,T1212M,V1.002,20010529,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0199A10,0.BIN
Gakkyuu-ou Yamazaki - Yamazaki Oukoku Daifunsou! (Japan),YAMAZAKI,HDR-0050,V1.005,19991130,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0611A10,1ST_READ.BIN
GameShark CDX (USA) (Unl),DATEL,HDR-0030,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E DATEL HDR,JUE,2799810,WWWXXXXX.TXT
GameShark CDX (USA) (Unl) (Final Version),DATEL,HDR-0030,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E DATEL HDR,JUE,2799810,WWWSHARK.TXT
GameShark Lite (USA) (Unl),DATEL,HDR-0030,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E DATEL HDR,JUE,2799810,WWWXXXXX.TXT
GameShark Video Game Enhancer - Upgrade Disk (USA) (Unl),DATEL,HDR-0030,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E DATEL HDR,JUE,2799810,WWWXXXXX.TXT
Ganbare! Nippon! Olympic 2000 (Japan),GAMBARE NIPPON OLYMPIC 2000,T9511M,V1.002,20000711,Japan/Asia,SEGA LC-T-95,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
"Ganryu (USA, Japan) (Unl)",IP.BIN,T0000,V1.000,20000627,"Japan/Asia, USA/Canada, Europe",Jacob Alberty,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,E000F10,1ST_READ.BIN
Garou - Mark of the Wolves (Japan),GAROU MARK OF THE WOLVES,T3108M,V1.001,20010726,Japan/Asia,SEGA LC-T-31,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,01BBA10,1ST_READ.BIN
"Gauntlet Legends (Europe) (En,Fr,De)",GAUNTLET LEGENDS,T9707D  50,V1.004,20000619,Europe,SEGA LC-T-97,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,079BA10,1ST_READ.BIN
Gauntlet Legends (USA),GAUNTLET LEGENDS,T9710N,V1.003,20000517,USA/Canada,SEGA LC-T-97,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,079BA10,1ST_READ.BIN
Generator Vol. 1 (Japan),DREAMCAST GENERATOR,51034,V1.010,19991015,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A00,1ST_READ.BIN
Generator Vol. 1 (USA),DREAMCAST GENERATOR,51034,V1.002,19990708,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,07BFA10,1ST_READ.BIN
Generator Vol. 2 (USA),GENERATOR 2,MK-51057,V1.000,20000412,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
Get Bass (Japan),GETBASS,HDR-0023,V1.002,19990304,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,1F99A10,1ST_READ.BIN
Get Bass (Japan) (Taikenban),GETBASS,6107119,V1.000,19990209,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,1F99A10,1ST_READ.BIN
Get Bass 2 (Japan),GETBASS2,HDR-0169,V1.080,20010727,Japan/Asia,SEGA CORPORATION,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799B10,1ST_READ.BIN
Get!! Colonies (Japan),GET COLONY,HDR-0071,V1.000,20000227,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,619811,0WINCEOS.BIN
Ghost Blade (Europe) (Unl) (Limited Edition),The Ghost Blade,T65181N,V1.000,20150830,"Japan/Asia, USA/Canada, Europe",HuCast,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,01FFE10,09.DAT
"Ghost Blade (USA, Japan) (Unl) (Rerelease)",The Ghost Blade,T65181N,V1.000,20150830,"Japan/Asia, USA/Canada, Europe",HuCast,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,01FFE10,09.DAT
