Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,Playable_Regions,Company_Short,Hardware_ID,Maker_ID,Device_Info,Area_Symbols,Peripherals,Boot_Filename
Motto Pro Yakyuu Team o Tsukurou! (Japan) (Rev A),MOTTO PROYAKYU TEAM WO TUKUROU,HDR-0092,V1.011,20000904,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799810,1ST_READ.BIN
Motto Pro Yakyuu Team o Tsukurou! (Japan) (Rev B),MOTTO PROYAKYU TEAM WO TUKUROU,HDR-0092,V1.012,20000911,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799810,1ST_READ.BIN
MP3 DC - Use MP3 Audio CD's on Your Dreamcast (Europe) (Unl),MP3 Pal English,FCD,V1.000,20000627,"Japan/Asia, USA/Canada, Europe",FCD,SEGA SEGAKATANA,SEGA ENTERPRISES,F39F FCD,JUE,E000F10,MP3.BIN
MP3 DC - Use MP3 Audio CD's on Your Dreamcast (USA) (Unl),MP3 NTSC version,FCD,V1.000,20000627,"Japan/Asia, USA/Canada, Europe",FCD,SEGA SEGAKATANA,SEGA ENTERPRISES,F39F FCD,JUE,E000F10,MP3.BIN
MP3 DC - Use MP3 Audio CD's on Your Dreamcast (USA) (Unl) (Pelican Accessories),XploderDC English,FCD,V1.000,20000627,"Japan/Asia, USA/Canada, Europe",FCD,SEGA SEGAKATANA,SEGA ENTERPRISES,F39F FCD,JUE,E000F10,MP3.BIN
"Mr. Driller (Europe) (En,Fr,De,Es,It)",MR.DRILLER,T7020D,V1.001,20000918,Europe,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,07BBA10,1ST_READ.BIN
Mr. Driller (Japan),MR.DRILLER,T1402M,V1.002,20000405,Japan/Asia,SEGA LC-T-14,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,07BBA10,1ST_READ.BIN
Mr. Driller (USA),MR.DRILLER,T1402N,V1.001,20000511,USA/Canada,SEGA LC-T-14,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,07BBA10,1ST_READ.BIN
Ms. Pac-Man Maze Madness (USA),MS. PAC-MAN MAZE MADNESS,T1404N,V1.000,20001012,USA/Canada,SEGA LC-T-14,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0719A00,1ST_READ.BIN
"MSR - Metropolis Street Racer (Europe) (En,Fr,De,Es)",METROPOLIS STREET RACER,MK-5102250,V1.001,20001010,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,2799A10,1ST_READ.BIN
"MSR - Metropolis Street Racer (Europe) (En,Fr,De,Es) (Rev A)",METROPOLIS STREET RACER,MK-5102250,V1.002,20001020,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,2799A10,1ST_READ.BIN
"MSR - Metropolis Street Racer (Europe) (En,Fr,De,Es) (Rev B)",METROPOLIS STREET RACER,MK-5102250,V1.009,20001121,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,2799A10,1ST_READ.BIN
MSR - Metropolis Street Racer (USA),METROPOLIS STREET RACER,MK-51012,V1.010,20001130,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
MSR Opel Challenge (Europe) (Beta) (1999-05-19),THIS IS A SAMPLE DISK FOR USE IN THE OFFICE ONLY  DO NOT SELL   DO NOT CARRY OUT FROM THE OFFICE,MK0001,V0.800,19990519,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,JUE,799810,1ST_READ.BIN
MTV Sports - Skateboarding featuring Andy Macdonald (Europe),MTV SPORTS SKATEBOARDING,T10001D 50,V1.002,20001019,Europe,SEGA LC-T-100,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799800,1ST_READ.BIN
MTV Sports - Skateboarding featuring Andy Macdonald (USA),MTV SPORTS SKATEBOARDING,T10004N,V1.002,20000920,USA/Canada,SEGA LC-T-100,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799800,1ST_READ.BIN
Musapey's Choco Marker (Japan),MUSAPEY NO CHOCOMARKER,T23203M,V1.002,20021102,Japan/Asia,SEGA LC-T-232,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,00TYP.BIN
My Merry May (Japan),MY MERRY MAY,T19714M,V1.002,20020328,Japan/Asia,SEGA LC-T-197,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
My Merry Maybe (Japan) (Disc 1),MY MERRY MAYBE,T19719M,V1.000,20030506,Japan/Asia,SEGA LC-T-197,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,J,0799A10,1ST_READ.BIN
My Merry Maybe (Japan) (Disc 2),MY MERRY MAYBE,T19719M,V1.000,20030506,Japan/Asia,SEGA LC-T-197,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,J,0799A10,1ST_READ.BIN
Nakoruru - Ano Hito kara no Okurimono (Japan),NAKORURU,T44702M,V1.004,20020224,Japan/Asia,SEGA LC-T-447,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,A199A10,1ST_READ.BIN
Namco Museum (USA),NAMCO MUSEUM,T1403N,V1.010,20000623,USA/Canada,SEGA LC-T-14,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,19810,1ST_READ.BIN
Nanatsu no Hikan - Senritsu no Bishou (Japan),NANATSU NO HIKAN SENRITSU NO BISYOU,T7604M,V1.002,19991214,Japan/Asia,SEGA LC-T-76,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A00,1ST_READ.BIN
Napple Tale - Arsia in Daydream (Japan),NAPPLETALE ARSIA IN DAYDREAM,HDR-0079,V1.006,20000925,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
"NBA 2K (Europe) (En,Fr,De,Es)",NBA 2K,MK-5100450,V1.006,20000202,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
NBA 2K (Japan),NBA 2K,HDR-0069,V1.000,20000209,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
NBA 2K (USA),NBA 2K,MK-51004,V1.008,19991023,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
NBA 2K1 (Japan),NBA 2K1,HDR-0150,V1.002,20010303,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
NBA 2K1 (USA),NBA2K1,MK-51063,V1.008,20001021,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
NBA 2K2 (Europe),NBA2K2,MK-51178,V1.001,20011129,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,2799A10,1ST_READ.BIN
NBA 2K2 (Japan),NBA2K2,HDR-0197,V1.000,20011204,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
NBA 2K2 (USA),NBA2K2,MK-51178,V1.000,20010930,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
"NBA Hoopz (Europe) (En,Fr,De)",NBA HOOPZ,T9713D,V1.000,20010202,Europe,SEGA LC-T-97,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
NBA Hoopz (USA),NBA HOOPZ,T9709N,V2.000,20010115,USA/Canada,SEGA LC-T-97,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799810,1ST_READ.BIN
NBA Showtime - NBA on NBC (Europe),NBA SHOWTIME:NBA ON NBC,T-9706D-50,V1.001,19991201,Europe,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799800,1ST_READ.BIN
NBA Showtime - NBA on NBC (USA),NBA SHOWTIME:NBA ON NBC,T-9706N,V1.003,19991117,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799800,1ST_READ.BIN
NCAA College Football 2K2 - Road to the Rose Bowl (USA),NCAA COLLEGE FOOTBALL 2K2,MK-51176,V1.003,20010820,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
"Neo Golden Logres (Japan) (En,Ja)",NEO GOLDEN LOGRES,T9904M,V1.000,20000719,Japan/Asia,SEGA LC-T-99,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,19810,1ST_READ.BIN
Neo XYX (Europe) (Unl),,MK1014,V1.000,20061202,"Japan/Asia, USA/Canada, Europe",NG:DEV.TEAM,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,1011,1ST_READ.BIN
Neppachi - 10-renchan de Las Vegas Ryokou (Japan) (Rev A),NEPPACHI,T41002M,V2.000,19991106,Japan/Asia,SEGA LC-T-410,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Neppachi II - CR Harenchi Gakuen (Japan),NEPPACHI2 VPACHI,T41003M,V1.003,20000601,Japan/Asia,SEGA LC-T-410,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Neppachi III - CR Dokonjou Gaeru 2 - CR Dokonjou Gaeru H (Japan),NEPPACHI3 VPACHI,T41004M,V1.004,20000820,Japan/Asia,SEGA LC-T-410,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Neppachi IV - CR Aa!! Hana no Ouendan 3 (Japan),NEPPACHI4,T41005M,V1.001,20001109,Japan/Asia,SEGA LC-T-410,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Neppachi V - CR Monster House (Japan),NEPPACHI5,T41006M,V1.001,20001110,Japan/Asia,SEGA LC-T-410,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Neppachi VI - CR Otakara Tankentai (Japan),NEPPACHI6,T41007M,V1.001,20010113,Japan/Asia,SEGA LC-T-410,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Net de Para (Japan),NET DE PARA,T37903M,V1.007,20000703,Japan/Asia,SEGA LC-T-379,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799811,0WINCEOS.BIN
Net de Tennis (Japan),NET DE TENNIS,T1234M,V1.004,20000907,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,27BBA00,1ST_READ.BIN
Net Versus - Chess (Japan),NET VERSUS CHESS,T45706M,V1.005,20010417,Japan/Asia,SEGA LC-T-457,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2199810,1ST_READ.BIN
Net Versus - Gomoku Narabe to Renju (Japan),NET VERSUS GOMOKUNARABE RENJU,T45705M,V1.005,20010417,Japan/Asia,SEGA LC-T-457,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2199810,1ST_READ.BIN
Net Versus - Hanafuda (Japan),NET VERSUS HANAFUDA,T45704M,V1.005,20010417,Japan/Asia,SEGA LC-T-457,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2199810,1ST_READ.BIN
Net Versus - Igo (Japan),NET VERSUS IGO,T45703M,V1.005,20010417,Japan/Asia,SEGA LC-T-457,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2199810,1ST_READ.BIN
Net Versus - Mahjong (Japan),NET VERSUS MAJAN,T45701M,V1.005,20010417,Japan/Asia,SEGA LC-T-457,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2199810,1ST_READ.BIN
Net Versus - Reversi (Japan),NET VERSUS REVERSI,T45707M,V1.005,20010417,Japan/Asia,SEGA LC-T-457,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2199810,1ST_READ.BIN
Net Versus - Shougi (Japan),NET VERSUS SHOUGI,T45702M,V1.005,20010417,Japan/Asia,SEGA LC-T-457,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2199810,1ST_READ.BIN
Nettou Golf (Japan),NET GOLF,HDR-0006,V1.017,20000926,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Never 7 - The End of Infinity (Japan),NEVER7 THE END OF INFINITY,T19703M,V1.000,20001106,Japan/Asia,SEGA LC-T-197,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Newpowered Generation 1 (UK) (Unl),Segapowered demo1,Segapowerd,V1.000,20220512,"Japan/Asia, USA/Canada, Europe",Wave IMR,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/2,JUE,FFBFF10,1ST_READ.BIN
"Next Tetris, The - On-Line Edition (USA)",THE NEXT TETRIS ONLINE EDITION,T40214N,V1.100,20001122,USA/Canada,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,079BA01,0WINCEOS.BIN
"Next Tetris, The (Europe)",THE NEXT TETRIS,T17717D 50,V1.003,20010125,Europe,SEGA LC-T-177,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A01,0WINCEOS.BIN
NFL 2K (Japan),NFL 2K,HDR-0058,V1.002,19991217,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
NFL 2K (USA),NFL 2K,MK-51003,V1.007,19990805,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
NFL 2K1 (Japan),NFL 2K1,HDR-0144,V1.000,20010215,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
"NFL 2K1 (USA, Canada)",NFL2K1,MK-51062,V1.003,20000831,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
NFL 2K2 (Japan),NFL2K2,HDR-0196,V1.000,20011205,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
NFL 2K2 (USA),NFL2K2,MK-51168,V1.004,20010829,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
NFL Blitz 2000 (Europe),NFL BLITZ 2000,T-9703D-50,V1.006,19991021,Europe,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A00,1ST_READ.BIN
NFL Blitz 2000 (USA),NFL BLITZ 2000,T-9703N,V1.002,19990909,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A00,1ST_READ.BIN
NFL Blitz 2000 (USA) (Rev 1),NFL BLITZ 2000,T-9703N,V2.000,19990909,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A00,1ST_READ.BIN
NFL Blitz 2001 (USA),NFL BLITZ 2001,T9712N,V1.001,20000814,USA/Canada,SEGA LC-T-97,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,079B810,1ST_READ.BIN
NFL QB Club 2001 (USA),NFL QUARTERBACK CLUB 2001,T-8115N,V1.001,20000718,USA/Canada,T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,1FFFA11,0WINCEOS.BIN
NFL Quarterback Club 2000 (Europe),QUARTERBACK CLUB 2000,T8102D  50,V1.001,19991114,Europe,SEGA LC-T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,07FBA11,0WINCEOS.BIN
NFL Quarterback Club 2000 (USA),QUARTERBACK CLUB 2000,T-8101N,V1.030,19991115,USA/Canada,T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,1FFFA11,0WINCEOS.BIN
NHL 2K (Europe),NHL 2K,MK-5102550,V1.000,20000426,Europe,BBG,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
NHL 2K (USA),NHL 2K,MK-51025,V1.000,20000131,USA/Canada,BBG,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799810,1ST_READ.BIN
NHL 2K2 (Japan),NHL2K2,MK-51182,V1.009,20020327,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
NHL 2K2 (USA),NHL2K2,MK-51182,V1.008,20020208,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
"Nightmare Creatures II (Europe) (En,Fr,De,Es)",NIGHTMARE CREATURES II,T-9502D-50,V1.004,20000801,Europe,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,07BBB11,0WINCEOS.BIN
Nightmare Creatures II (USA),NIGHTMARE CREATURES II,T9504M,V1.000,20000407,USA/Canada,SEGA LC-T-95,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,07BBA01,0WINCEOS.BIN
Nihon Pro Mahjong Renmei Kounin - Tetsuman Menkyokaiden (Japan),TETSUMAN MENKYOKAIDEN,T18701M,V1.001,19991005,Japan/Asia,SEGA LC-T-187,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,199810,1ST_READ.BIN
Nijuuei (Japan),NIJYUEI,T46505M,V1.001,20020118,Japan/Asia,SEGA LC-T-465,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,199800,1ST_READ.BIN
Nobunaga no Yabou - Reppuuden (Japan),NOBUNAGA NO YABOU REPPUUDEN,T7605M,V1.001,19991104,Japan/Asia,SEGA LC-T-76,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,199800,0NOBU8.BIN
Nobunaga no Yabou - Shouseiroku with Power-Up Kit (Japan),NOBUNAGA NO YABOU SHOUSEIROKU with PowerUpKit,T7602M,V1.000,19990128,Japan/Asia,SEGA LC-T-76,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,199800,1ST_READ.BIN
"Nomad Soul, The (Europe) (En,Fr,De,Es,It)",THE NOMAD SOUL,T36805D 61,V1.003,20000414,Europe,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
"Nomad Soul, The (France) (En,Fr,De,Es,It)",THE NOMAD SOUL,T36805D 09,V1.003,20000414,Europe,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
"Nomad Soul, The (Germany)",THE NOMAD SOUL,T36805D 18,V1.003,20000414,Europe,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
"Non Casual Encounter - Prologue (USA, Europe) (Unl)",Encuentro no Casual - PRLOGO,SS-0001,V1.000,20210913,"Japan/Asia, USA/Canada, Europe",SEGASaturno,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,1811,PROLOGO.BIN
Official Sega Dreamcast Magazine Vol. 10 - January 2001 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE JANUARY 2001,IGN10,V1.200,20001002,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 11 - February 2001 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE FEBRUARY 2001,IGN11,V0.500,20001030,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,A799E10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 2 - November 1999 (USA),OFFICIAL SEGA@DREAMCAST MAGAZINE NOVEMBER '99,IGN1,V1.020,19990812,"Japan/Asia, USA/Canada",,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,JU,2799A10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 3 - January 2000 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE JANUARY 2000,IGN2,V1.010,19991014,USA/Canada,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 4 - March 2000 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE MARCH 2000,IGN3,V1.020,19991217,USA/Canada,,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 5 - May 2000 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE MAY 2000,IGN4,V1.010,20000216,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 6 - July 2000 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE JULY 2000,IGN6,V1.050,20000426,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 7 - September 2000 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE SEPTEMBER 2000,IGN7,V1.020,20000618,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,A799A10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 8 - November 2000 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE NOVEMBER 2000,IGN8,V1.020,20000807,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
Official Sega Dreamcast Magazine Vol. 9 - December 2000 (USA),OFFICIAL SEGA DREAMCAST MAGAZINE DECEMBER 2000,IGN9,V1.000,20000825,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
"Omikron - The Nomad Soul (USA) (En,Fr,De,Es,It)",OMIKRON THE NOMAD SOUL,T36807N,V1.001,20000418,USA/Canada,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,799810,1ST_READ.BIN
Omoide ni Kawaru Kimi - Memories Off (Japan),OMOIDE NI KAWARU KIMI,T19718M,V1.001,20020930,Japan/Asia,SEGA LC-T-197,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Ooga Booga (USA),OOGA BOOGA,MK-51140,V1.001,20010814,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799A10,1ST_READ.BIN
Oogami Ichirou Funtouki - Sakura Taisen Kayou Show Beni Tokage yori (Japan) (Disc 1),OHGAMI ICHIRO FUNTOUKI,HDR-0057,V1.000,19991221,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/2,J,199810,1ST_READ.BIN
Oogami Ichirou Funtouki - Sakura Taisen Kayou Show Beni Tokage yori (Japan) (Disc 2),OHGAMI ICHIRO FUNTOUKI,HDR-0057,V1.000,19991221,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM2/2,J,199810,1ST_READ.BIN
Orange Pocket - Cornet (Japan),ORANGEPOCKET,T18708M,V1.004,20040317,Japan/Asia,SEGA LC-T-187,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
"Orion's Puzzle Collection (Europe) (En,Fr) (Unl)",Orion's Puzzle CollectionYopaz IceStarYopaz 3DTurtle Chomp,T0042,V1.000,19840923,"Japan/Asia, USA/Canada, Europe",OrionSoft,SEGA SEGAKATANA,SEGA ENTERPRISES,CD-ROM1/1,JUE,0199C10,1ST_READ.BIN
"O-to-i-re - Dreamcast Sequencer (Japan) (En,Ja)",DREAMCAST SEQUENCER OTOIRE,T32801M,V1.002,19991108,Japan/Asia,SEGA LC-T-328,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799C10,1ST_READ.BIN
Ouka Houshin - Ouka Sakishi Toki (Japan),OUKAHOUSIN,T38704M,V1.003,19991114,Japan/Asia,SEGA LC-T-387,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799810,1.BIN
"Outtrigger (Europe) (En,Fr,De,Es)",OUTTRIGGER,MK-5110250,V1.001,20010619,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,A799A10,1ST_READ.BIN
Outtrigger (Japan),OUTTRIGGER,HDR-0118,V1.008,20010701,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,E799A10,1ST_READ.BIN
Outtrigger (USA),OUTTRIGGER,MK-51102,V1.003,20010702,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,A799A10,1ST_READ.BIN
Pachinko no Dendou - CR Nanasy (Japan),PACHINKO NO DENDOU CR NANASY,T5205M,V1.000,20010808,Japan/Asia,SEGA LC-T-52,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Pachi-Slot Teiou - Dream Slot - Heiwa SP (Japan),PACHI-SLOT TEIO DREAM SLOT HEIWA SP,T20501M,V1.001,20010627,Japan/Asia,SEGA LC-T-205,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A00,1ST_READ.BIN
Pachi-Slot Teiou - Dream Slot - Olympia SP (Japan),PACHI-SLOT TEIO DREAM SLOT OLYMPIA SP,T20502M,V1.001,20010824,Japan/Asia,SEGA LC-T-205,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
