redump_name,Title,Foreign Title,serial
Tokyo Mono Harashi - Karasu no Mori Gakuen Kitan (Japan),Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,東京鬼祓師 鴉乃杜學園奇譚,ULJM 05638
Tokyo Yamanote Boys Portable - Super Mint Disc (Japan),Tokyo Yamanote Boys Portable: Super Mint Disc,Ｔｏｋｙｏ ヤマノテ Ｂｏｙｓ Ｐｏｒｔａｂｌｅ Ｓｕｐｅｒ Ｍｉｎｔ Ｄｉｓｃ,ULJM 06172
"Tom Clancy's EndWar (Europe) (En,Fr,De,Es,It)",Tom Clancy's EndWar,,ULES-01068/E
Tom Clancy's EndWar (USA),Tom Clancy's EndWar,,ULUS-10358
"Tom Clancy's Ghost Recon - Advanced Warfighter 2 (Europe) (En,Fr,De,Es,It)",Tom Clancy's Ghost Recon: Advanced Warfighter 2,,ULES-00770
"Tom Clancy's Ghost Recon - Advanced Warfighter 2 (USA) (En,Fr,De,Es,It)",Tom Clancy's Ghost Recon: Advanced Warfighter 2,,ULUS-10237
"Tom Clancy's Ghost Recon - Advanced Warfighter 2 (USA) (En,Fr,De,Es,It)",Tom Clancy's Ghost Recon: Advanced Warfighter 2,,ULUS-10237GH
"Tom Clancy's Ghost Recon - Predator (Europe) (En,Fr,De,Es,It)",Tom Clancy's Ghost Recon: Predator,,ULES-01350
"Tom Clancy's Ghost Recon - Predator (USA) (En,Fr,Es)",Tom Clancy's Ghost Recon: Predator,,ULUS-10445
"Tom Clancy's Rainbow Six - Vegas (Europe) (En,Fr,De,Es,It)",Tom Clancy's Rainbow Six: Vegas,,ULES-00584
"Tom Clancy's Rainbow Six - Vegas (USA) (En,Fr,Es)",Tom Clancy's Rainbow Six: Vegas,,ULUS 10206
"Tom Clancy's Splinter Cell - Essentials (Europe) (En,Fr,De,Es,It) (v2.00)",Tom Clancy's Splinter Cell: Essentials,,ULES-00281#
