Redump_Name,Serial_1,Serial_2
Bloody Roar - Extreme (Japan),DOL-GBRJ-JPN,
Bloody Roar - Primal Fury (Europe),DOL-GBLP-EUR,
Bloody Roar - Primal Fury (USA),DOL-GBLE-USA,
Bloody Roar - Primal Fury (USA) (Beta) (2002-01-08),,
Blowout (USA),DOL-GWOE-USA,
"BMX XXX (Europe) (En,Fr,De,Es)",DOL-GB3P-EUR,
BMX XXX (USA),DOL-GB3E-USA,
Boboboubo Boubobo - Dasshutsu!! Hajike Royale (Japan),DOL-G8OJ-JPN,
Bokujou Monogatari - Shiawase no Uta (Japan),DOL-G4AJ-JPN,
Bokujou Monogatari - Shiawase no Uta (Japan) (Rev 1),DOL-G4AJ-JPN,
Bokujou Monogatari - Shiawase no Uta for World (Japan),DOL-G4WJ-JPN,
Bokujou Monogatari - Wonderful Life (Japan),DOL-GYWJ-JPN,
Bokujou Monogatari - Wonderful Life (Japan) (Rev 1),DOL-GYWJ-JPN,
Bokujou Monogatari - Wonderful Life for Girl (Japan),DOL-G4GJ-JPN,
"Bomberman Generation (Europe) (En,Fr,De)",DOL-GBGP-EUR,
Bomberman Generation (Japan),DOL-GBGJ-JPN,
Bomberman Generation (USA),DOL-GBGE-USA,
Bomberman Generation (USA) (Rev 1),DOL-GBGE-USA,
Bomberman Jetters (Japan),DOL-GJBJ-JPN,
Bomberman Jetters (USA),DOL-GJBE-USA,
Bomberman Land 2 (Japan),DOL-GB2J-JPN,
"Bratz - Forever Diamondz (Europe) (En,Fr)",DOL-GVDP-UKV,
Bratz - Forever Diamondz (USA),DOL-GVDE-USA,
Bratz - Rock Angelz (Europe),DOL-GR6P-UKV,
Bratz - Rock Angelz (France),DOL-GR6F-FRA,
Bratz - Rock Angelz (Germany),DOL-GR6D-NOE,
Bratz - Rock Angelz (USA),DOL-GR6E-USA,
Buffy contre les Vampires - Chaos Bleeds (France),DOL-GCQF-FRA,
Buffy im Bann der Daemonen - Chaos Bleeds (Germany),DOL-GCQD-NOE,
Buffy the Vampire Slayer - Chaos Bleeds (Europe),DOL-GCQP-UKV,
Buffy the Vampire Slayer - Chaos Bleeds (USA),DOL-GCQE-USA,
"Burnout (Europe) (En,Fr,De,Es,It)",DOL-GBOP-EUR,
Burnout (USA),DOL-GBOE-USA,
Burnout (USA) (Beta) (2002-03-06),,
"Burnout 2 - Point of Impact (Europe) (En,Fr,De,Es,It)",DOL-GB4P-EUR,
Burnout 2 - Point of Impact (USA),DOL-GB4E-USA,
Bust-A-Move 3000 (USA),DOL-G3SE-USA,
"Butt-Ugly Martians - Zoom or Doom! (Europe) (En,Fr,De,Es,It)",DOL-GZMP-EUR,
Cabela's Big Game Hunter 2005 Adventures (USA),DOL-GG5E-USA,
Cabela's Dangerous Hunts 2 (USA),DOL-GVKE-USA,
Cabela's Outdoor Adventures (USA),DOL-GOAE-USA,
Call of Duty - Finest Hour (Europe),DOL-GCOP-EUR,
Call of Duty - Finest Hour (France),DOL-GCOF-FRA,
Call of Duty - Finest Hour (Germany),DOL-GCOD-NOE,
Call of Duty - Finest Hour (USA),DOL-GCOE-USA,
Call of Duty 2 - Big Red One (Europe),DOL-GQCP-EUR,
Call of Duty 2 - Big Red One (France),DOL-GQCF-FRA,
Call of Duty 2 - Big Red One (Germany),DOL-GQCD-NOE,
Call of Duty 2 - Big Red One (Italy),DOL-GQCI-ITA,
Call of Duty 2 - Big Red One (Spain),DOL-GQCS-ESP,
Call of Duty 2 - Big Red One (USA),DOL-GQCE-USA,
Capcom vs. SNK 2 EO - Millionaire Fighting 2001 (Europe),DOL-GEOP-EUR,
Capcom vs. SNK 2 EO (Japan) (Rev 1),DOL-GEOJ-JPN,
Capcom vs. SNK 2 EO (Japan) (Tentou Taikenban),DOL-DEOJ-DIS,
Capcom vs. SNK 2 EO (USA),DOL-GEOE-USA,
Captain Tsubasa - Ougon Sedai no Chousen (Japan) (Rev 1),DOL-GKTJ-JPN,
"Carmen Sandiego - The Secret of the Stolen Drums (Europe) (De,Es)",DOL-G3DX-EUR,
"Carmen Sandiego - The Secret of the Stolen Drums (Europe) (En,Fr)",DOL-G3DP-EUR,
"Carmen Sandiego - The Secret of the Stolen Drums (USA) (En,Fr)",DOL-G3DE-USA,
"Casper - Spirit Dimensions (Europe) (En,Fr,De,Es,It)",DOL-GCPP-EUR,
Casper - Spirit Dimensions (USA),DOL-GCPE-USA,
"Castleween (Europe) (En,Fr,De,Es,It)",DOL-GCWP-EUR,DOL-GCWP-NOE
"Catwoman (Europe) (En,Fr,De,Es,It,Nl)",DOL-GCZP-EUR,
Catwoman (USA),DOL-GCZE-USA,
CD avec les Codes Action Replay Exclusivement pour le Jeu The Legend of Zelda - The Wind Waker (France) (Unl),,
CD avec les Codes Exclusifs et Inedits pour le Jeu Metroid Prime (France) (Unl),,
CD Exclusif avec les Codes pour les Jeux Resident Evil et Resident Evil Zero (France) (Unl),,
Cel Damage (Europe),DOL-GCLP-EUR,
Cel Damage (USA),DOL-GCLE-USA,
Chaos Field (USA),DOL-GKFE-USA,
Chaos Field Expanded (Japan) (Rev 2),DOL-GKFJ-JPN,
Charinko Hero (Japan) (Rev 1),DOL-GTHJ-JPN,
"Charlie and the Chocolate Factory (Europe) (En,Fr,Es,Nl)",DOL-G4CP-EUR,
Charlie and the Chocolate Factory (USA),DOL-G4CE-USA,
"Charlie's Angels (Europe) (En,Fr,De)",DOL-GCGP-EUR,
"Charlie's Angels (USA) (En,Fr)",DOL-GCGE-USA,
