Redump_title,title,localized_title,Serial
"Ace Combat - Squadron Leader (Europe, Australia) (En,Fr,De,Es,It)",Ace Combat - Squadron Leader,,SCES-52424
Ace Combat - The Belkan War (Europe) (Beta) (2006-06-01),Ace Combat - The Belkan War,,SCES-54041
"Ace Combat - The Belkan War (Europe, Australia) (En,Fr,De,Es,It)",Ace Combat - The Belkan War,,SCES-54041
Ace Combat 04 - Shattered Skies (Japan),エースコンバット04 シャッタードスカイ,Ace Combat 04 - Shattered Skies,SLPS-25052
Ace Combat 04 - Shattered Skies (Japan),エースコンバット04 シャッタードスカイ [PlayStation2 the Best],Ace Combat 04 - Shattered Skies [PlayStation2 the Best],SLPS-73205
Ace Combat 04 - Shattered Skies (Japan),エースコンバット04 シャッタードスカイ [PlayStation2 the Best],Ace Combat 04 - Shattered Skies [PlayStation2 the Best],SLPS-73410
Ace Combat 04 - Shattered Skies (Japan) (Taikenban),エースコンバット04 シャッタードスカイ [体験版],Ace Combat 04 - Shattered Skies [Trial],SLPM-60149
Ace Combat 04 - Shattered Skies (USA),Ace Combat 04 - Shattered Skies,,SLUS-20152
Ace Combat 5 - The Unsung War (Japan),エースコンバット5 ジ・アンサング・ウォー,Ace Combat 5 - The Unsung War,SLPS-25418
Ace Combat 5 - The Unsung War (Japan),エースコンバット5 ジ・アンサング・ウォー [PlayStation2 the Best],Ace Combat 5 - The Unsung War [PlayStation2 the Best],SLPS-73218
"Ace Combat 5 - The Unsung War (Korea) (En,Ja)",Ace Combat 5 - The Unsung War,,SCKA-20042
"Ace Combat 5 - The Unsung War (USA) (En,Ja)",Ace Combat 5 - The Unsung War,,SLUS-20851
Ace Combat Zero - The Belkan War (Japan),エースコンバット・ゼロ ザ・ベルカン・ウォー,Ace Combat Zero - The Belkan War,SLPS-25629
Ace Combat Zero - The Belkan War (Japan),エースコンバット・ゼロ・ザ・ベルカン・ウォー [PlayStation2 the Best],Ace Combat Zero - The Belkan War [PlayStation2 the Best],SLPS-73250
Ace Combat Zero - The Belkan War (Korea),Ace Combat Zero - The Belkan War,,SCKA-20070
Ace Combat Zero - The Belkan War (USA),Ace Combat Zero - The Belkan War,,SLUS-21346
Ace Lightning (Europe),Ace Lightning,,SLES-51503
Aces of War (Europe),Aces of War,,SLES-52532
Action Girlz Racing (Europe),Action Girlz Racing,,SLES-52956
"Action Man A.T.O.M. - Alpha Teens on Machines (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",Action Man A.T.O.M. - Alpha Teens on Machines,,SLES-54617
Action Man A.T.O.M. - Alpha Teens on Machines (Poland),Action Man A.T.O.M. - Alpha Teens on Machines,,SLES-54712
Action Romance Bumpy Trot (Korea),액션 로망 범피 트롯,Action Romance Bumpy Trot,SCKA-20058
"Activision Anthology (Europe, Australia)",Activision Anthology,,SLES-51313
Activision Anthology (USA),Activision Anthology,,SLUS-20588
"Adiboo and the Energy Thieves (Europe) (En,Fr,De,Es,It,Nl)",Adibou & Les Voleurs d'Energie,,SLES-52521
ADK Damashii (Japan),ADK魂,ADK Tamashii,SLPS-25906
Adventure of Tokyo Disney Sea - Ushinawareta Houseki no Himitsu (Japan),アドベンチャー オブ 東京ディズニーシー ～失われた宝石の秘密,Adventure of Tokyo Disney Sea - Ushinawareta Houseki no Himitsu,SLPM-65061
"Adventures of Cookie & Cream, The (USA)",The Adventures of Cookie & Cream,,SLUS-20170
"Adventures of Darwin, The (USA)",The Adventures of Darwin,,SLUS-21592
Aeon Flux (Europe),Aeon Flux,,SLES-53956
"Aeon Flux (Europe) (En,Fr,De,Es)",Aeon Flux,,SLES-54169
Aeon Flux (USA),Aeon Flux,,SLUS-21205
Aero Dancing 4 - New Generation (Japan),エアロダンシング 4 ニュージェネレーション,Aero Dancing 4 - New Generation,SLPM-65150
Aero Elite - Combat Academy (USA),Aero Elite - Combat Academy,,SLUS-20614
Aerobics Revolution (Japan),エアロビクスレボリューション,Aerobics Revolution,SLPM-62301
AFL Live 2003 (Australia),AFL Live 2003,,SLES-51168
AFL Live 2004 - Aussie Rules Football (Europe),AFL Live 2004 - Aussie Rules Football,,SLES-51903
AFL Live 2004 (Australia) (v1.03),AFL Live 2004,,SLES-51826
AFL Live 2004 (Australia) (v2.01),AFL Live 2004,,SLES-51826
AFL Live Premiership Edition (Australia),AFL Live - Premiership Edition,,SLES-52368
AFL Premiership 2005 (Australia),AFL Premiership 2005,,SCES-53449
AFL Premiership 2006 (Australia),AFL Premiership 2006,,SCES-54068
AFL Premiership 2006 (Australia) (Demo),AFL Premiership 2006,,SCED-54192
AFL Premiership 2007 (Australia),AFL Premiership 2007,,SCES-54639
After... Wasureenu Kizuna (Japan),After...～忘れえぬ絆～ [初回限定版],After... Wasureenu Kizuna [First Print Limited Edition],SLPM-65481
"Agassi Tennis Generation (Europe) (En,Fr,De,Es,It)",Agassi Tennis Generation,,SLES-52125
Agassi Tennis Generation (USA),Agassi Tennis Generation,,SLUS-20446
"Age of Empires II - The Age of Kings (Europe) (En,Fr,De,Es,It) (v1.20)",Age of Empires II - The Age of Kings,,SLES-50282
"Age of Empires II - The Age of Kings (Europe) (En,Fr,De,Es,It) (v2.00)",Age of Empires II - The Age of Kings,,SLES-50282
Age of Empires II - The Age of Kings (Japan),AGE OF EMPIRES Ⅱ THE AGE OF KINGS,Age of Empires II - The Age of Kings,SLPM-62076
"Agent Hugo - Hula Holiday (Europe) (En,Fr,De,Es,It,Nl,Pt)",Agent Hugo - Hula Holiday,,SLES-55365
Agent Hugo - Hula Holiday (Russia),Agent Hugo - Hula Holiday,,SLES-55366
"Agent Hugo - Hula Holiday (Scandinavia) (En,Sv,No,Da,Fi)",Agent Hugo - Hula Holiday,,SLES-55364
"Agent Hugo - Lemoon Twist (Europe) (En,Fr,De,Es,It,Nl,Pt)",Agent Hugo - Lemoon Twist,,SLES-54918
Agent Hugo - Lemoon Twist (Russia),Agent Hugo - Lemoon Twist,,SLES-54919
"Agent Hugo - Lemoon Twist (Scandinavia) (En,Sv,No,Da,Fi)",Agent Hugo - Lemoon Twist,,SLES-54917
"Agent Hugo - RoboRumble (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",Agent Hugo - RoboRumble,,SLES-54212
Agent Hugo - RoboRumble (Poland),Agent Hugo - RoboRumble,,SLES-54520
"Agent Hugo (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",Agent Hugo,,SLES-53504
Agent Hugo (Russia),Agent Hugo,,SLES-53910
Aggressive Inline (Europe) (Demo),Aggressive Inline,,SLED-51074
"Aggressive Inline (Europe) (En,Fr,De,Es)",Aggressive Inline,,SLES-50480
Aggressive Inline (USA),Aggressive Inline,,SLUS-20327
Aggressive Inline (USA) (Demo),Aggressive Inline [Demo],,SLUS-29021
AH-64D Apache (Japan) (Beta) (2003-03-26),AH-64D Apache,AH-64D Apache,SLPS-20000
AI Igo 2003 (Japan),AI囲碁2003,AI Igo 2003,SLPM-62329
AI Mahjong 2003 (Japan),AI麻雀2003,AI Mahjong 2003,SLPM-62330
AI Shougi 2003 (Japan),AI将棋2003,AI Shougi 2003,SLPM-62323
Ai yori Aoshi (Japan),藍より青し [通常版],Ai Yori Aoshi [Standard Edition],SLPS-25225
Ai yori Aoshi (Japan) (Shokai Genteiban),藍より青し [初回限定版],Ai yori Aoshi [First Limited Edition],SLPS-25224
Aikagi - Nukumori to Hidamari no Naka de (Japan),あいかぎ ～ぬくもりとひだまりの中で～,Aikagi,SLPS-25274
Aikagi - Nukumori to Hidamari no Naka de (Japan),あいかぎ ～ぬくもりとひだまりの中で～ [ベスト版],Aikagi [Best Version],SLPM-65922
Air (Japan),AIR [ベスト版],Air [Best],SLPM-65844
Air (Japan),AIR [ベスト版],AIR [Best],SLPM-66982
Air (Japan),AIR,Air,SLPS-25127
Air Raid 3 (Europe),Air Raid 3,,SLES-53772
Air Ranger - Rescue Helicopter (Europe),Air Ranger - Rescue Helicopter,,SLES-50953
Air Ranger - Rescue Helicopter (Japan),レスキューヘリ エアレンジャー,Air Ranger - Rescue Helicopter,SLPS-20083
Air Ranger 2 - Rescue Helicopter (Japan),レスキューヘリ エアレンジャー2  [わくわくプライス],Air Ranger 2 - Rescue Helicopter [WakWak Price],SLPM-65325
Air Ranger 2 - Rescue Helicopter (Japan),レスキューヘリ エアレンジャー2,Air Ranger 2 - Rescue Helicopter,SLPS-25098
Air Ranger 2 - Rescue Helicopter (Korea),Air Ranger 2 - Rescue Helicopter,,SLKA-25052
Air Ranger 2 Plus - Rescue Helicopter (Japan),レスキューヘリ エアレンジャー2 plus,Air Ranger 2 Plus - Rescue Helicopter,SLPM-65409
"AirBlade (Europe) (En,Fr,De,Es,It) (Beta) (2001-09-16)",AirBlade,,SCES-50246
"AirBlade (Europe, Australia) (En,Fr,De,Es,It)",AirBlade,,SCES-50246
AirBlade (USA),AirBlade,,SLUS-20346
AirBlade (USA) (Demo),AirBlade [Demo],,SLUS-29017
"Airborne Troops - Countdown to D-Day (Europe) (En,Fr,Es,It)",Airborne Troops - Countdown to D-Day,,SLES-52939
Airborne Troops - Countdown to D-Day (USA),Airborne Troops - Countdown to D-Day,,SLUS-21125
AirForce Delta - Blue Wing Knights (Japan),エアフォースデルタ ブルーウイングナイツ,Airforce Delta - Blue Wing Knights,SLPM-65486
AirForce Delta - Blue Wing Knights (Japan),エアフォースデルタ ブルーウィングナイツ [KONAMI The BEST],Airforce Delta - Blue Wing Knights [KONAMI The BEST],SLPM-65722
AirForce Delta Strike (Korea),에어포스 델타 스트라이크,Airforce Delta Strike,SLKA-25133
AirForce Delta Strike (USA),Airforce - Delta Strike,,SLUS-20703
Akagawa Jirou - Tsuki no Hikari - Shizumeru Kane no Satsujin (Japan),月の光 ～沈める鐘の殺人～,Akagawa Jirou - Tsuki no Hikari - Shizumeru Kane no Satsujin,SLPS-20196
Akagi - Yami ni Oritatta Tensai (Japan),アカギ ～闇に降り立った天才～,Akagi - Yami ni Oritatta Tensai,SLPM-62269
Akane-iro ni Somaru Saka - Parallel (Japan),あかね色に染まる坂 ぱられる,Akane-iro ni Somaru Saka - Parallel,SLPM-55006
Akira Psycho Ball (Europe),Akira Psycho Ball,,SLES-50919
Akira Psycho Ball (Japan),AKIRA PSYCHO BALL,Akira Psycho Ball,SLPS-20150
Akudaikan (Japan),悪代官,Akudaikan,SLPM-65151
Akudaikan (Japan),悪代官 [GLOBAL The Best],Akudaikan [Global The Best],SLPM-65339
Akudaikan 2 - Mousouden (Japan),悪代官2 ～妄想伝～ [GLOBAL The Best],Akudaikan 2 - Mousouden [Global The Best],SLPM-65620
Akudaikan 3 (Japan),悪代官3 [PlayStation2 The Best],Akudaikan 3 [PlayStation2 The Best],SLPM-55145
"Akumajou Dracula - Yami no Juin (Japan) (En,Ja)",悪魔城ドラキュラ 闇の呪印,Akumajou Dracula - Yami no Juin,SLPM-66175
"Akumajou Dracula - Yami no Juin (Japan) (En,Ja)",悪魔城ドラキュラ 闇の呪印 [KONAMI the Best],Akumajou Dracula - Yami no Juin [KONAMI The BEST],SLPM-66668
Akumajou Dracula - Yami no Juin (Japan) (Tentou Taikenban),悪魔城ドラキュラ 闇の呪印 [店頭体験版],Akumajo Dracula - Yami no Juin [Store Demo],SLPM-61138
"Alan Hansen's Sports Challenge (Europe) (En,Fr,De,Es,It)",Alan Hansen's Sports Challenge,,SLES-54958
"Alarm for Cobra 11 - Vol. II (Europe) (En,De)",Alarm for Cobra 11 - Vol. II,,SLES-52920
"Alarm for Cobra 11 (Europe) (En,De)",Alarm for Cobra 11,,SLES-52063
Alarm for Cobra 11 Vol. 2 - Hot Pursuit (Europe),Alarm for Cobra 11 Vol.2 - Hot Pursuit,,SLES-53360
Alex Ferguson's Player Manager 2001 (Europe),Alex Ferguson's Player Manager 2001,,SLES-50429
Alfa Romeo Racing Italiano (USA),Squadra Course Alfa Romeo,,SLUS-21321
Alias (Europe) (Demo),Alias [Demo],,SLED-52485
"Alias (Europe) (En,Fr,De,Es)",Alias,,SLES-51821
Alias (Italy),Alias,,SLES-51822
Alias (USA),Alias,,SLUS-20673
"Alien Hominid (Europe, Australia) (En,Fr,De,Es,It,Nl)",Alien Hominid,,SLES-53139
Alien Hominid (USA),Alien Hominid,,SLUS-21090
"Aliens in the Attic (Europe) (En,Fr,De,Es,It)",Aliens in the Attic,,SLES-55532
Aliens Versus Predator - Extinction (Europe),Aliens Versus Predator - Extinction,,SLES-51792
Aliens Versus Predator - Extinction (USA),Aliens Versus Predator - Extinction,,SLUS-20147
All Music Dance! (Italy),All Music Dance!,,SLES-52542
All Star Pro-Wrestling (Japan),オールスター・プロレスリング,All Star Pro-Wrestling,SLPS-20022
All Star Pro-Wrestling II (Japan),オールスター・プロレスリングⅡ,All Star Pro-Wrestling II,SLPS-20139
All Star Pro-Wrestling III (Japan),オールスター・プロレスリングⅢ,All Star Pro-Wrestling III,SLPM-65300
All-Star Baseball 2002 (Europe),All-Star Baseball 2002,,SLES-50218
All-Star Baseball 2002 (Japan),ALL-STAR BASEBALL 2002,All-Star Baseball 2002,SLPM-62069
All-Star Baseball 2002 (USA),All-Star Baseball 2002,,SLUS-20008
All-Star Baseball 2003 featuring Derek Jeter (Europe),All-Star Baseball 2003 featuring Derek Jeter,,SLES-50447
All-Star Baseball 2003 featuring Derek Jeter (Japan),ALL-STAR BASEBALL 2003,All-Star Baseball 2003,SLPM-65137
All-Star Baseball 2003 featuring Derek Jeter (USA),All-Star Baseball 2003,,SLUS-20311
All-Star Baseball 2003 featuring Derek Jeter (USA) (Demo),All-Star Baseball 2003 [Trade Demo],,SLUS-28007
All-Star Baseball 2004 featuring Derek Jeter (Europe),All-Star Baseball 2004 featuring Derek Jeter,,SLES-51602
All-Star Baseball 2004 featuring Derek Jeter (Korea),All-Star Baseball 2004 featuring Derek Jeter,,SLKA-25057
All-Star Baseball 2004 featuring Derek Jeter (USA),All-Star Baseball 2004,,SLUS-20569
All-Star Baseball 2005 featuring Derek Jeter (USA),All-Star Baseball 2005 featuring Derek Jeter,,SLUS-20838
All-Star Fighters (Europe),All-Star Fighters,,SLES-54459
"Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It)",Alone in the Dark - The New Nightmare,,SLES-50185
Alone in the Dark (Europe),Alone in the Dark,,SLES-54884
"Alone in the Dark (Europe) (En,Fr,De,Es)",Alone in the Dark,,SLES-55207
"Alone in the Dark (Italy) (En,Fr,De,Es,It)",Alone in the Dark,,SLES-54883
Alone in the Dark (USA),Alone in the Dark,,SLUS-21690
"Alpine Racer 3 (Europe) (En,Fr,De,Es,It)",Alpine Racer 3,,SCES-50887
Alpine Racer 3 (Japan),ALPINE RACER 3,Alpine Racer 3,SLPS-20181
"Alpine Ski Racing 2007 - Bode Miller vs. Hermann Maier (Europe) (En,De)",Alpine Ski Racing,,SLES-54370
"Alpine Ski Racing 2007 - Bode Miller vs. Hermann Maier (Europe) (Fr,De,It)",Alpine Ski Racing 2007 - Bode Miller vs. Hermann Maier,,SLES-54560
