Redump Name,Domestic Title,Overseas Title,Product No.,Build Date,Hardware,Company,Disc Type,Version,I/O Devices,Region,Size
Ground Zero Texas (USA) (Disc 2),GROUND ZERO TEXAS,GROUND ZERO TEXAS,T-93145,1993.NOV,SEGA GENESIS,(C)SEGA,GM,0,J,U,599743536
Ground Zero Texas (USA) (Disc 2) (Alt),GROUND ZERO TEXAS,GROUND ZERO TEXAS,T-93145,1993.NOV,SEGA GENESIS,(C)SEGA,GM,0,J,U,599743536
Gyuwambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjongland-hen (Japan),ぎゅわんぶらあ自己中心派２,(unknown),T-45044,1992.DEC,SEGA MEGA DRIVE,(C)T-45,GM,0,JC,J,33762960
Heart of the Alien - Out of This World Parts I and II (USA) (RE),HEART OF THE ALIEN,HEART OF THE ALIEN,T-70025-,1994.AUG,SEGA GENESIS,(C)T-70,GM,0,J,U,12070464
Heavenly Symphony - Formula One World Championship 1993 (Japan),FOMULA ONE WORLDCHAMPIONSHIP 1,(unknown),G-6034-,1994.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,202761216
Heavy Nova (Japan),HEAVY NOVA CD,HEAVY NOVA CD,T-22014-,1991.DEC,SEGA MEGA DRIVE,(C)T-22,GM,0,J,J,2791824
Heimdall (Japan),HEIMDALL,HEIMDALL,T-60054-,1994.JAN,SEGA MEGA DRIVE,(C)T-60,GM,0,J,J,25881408
Heimdall (USA),HEIMDALL,HEIMDALL,T-60145-,1994.MAY,SEGA GENESIS,(C)T-60,GM,0,J,U,25888464
Hook (Europe),HOOK,HOOK,T-93055-,1993.MAY,SEGA MEGA DRIVE,(C)T-98,GM,0,J,E,19803840
Hook (USA),HOOK,HOOK,T-06205,1992.DEC,SEGA GENESIS,(C)T-98,GM,56,J,U,19930848
Hook (USA) (Alt),HOOK,HOOK,T-06205,1992.DEC,SEGA GENESIS,(C)T-98,GM,56,J,U,19803840
"IIIrd World War, The (Japan)",THE 3RD WORLD WAR,THE 3RD WORLD WAR,T-22034-,1993.OCT,SEGA MEGA DRIVE,(C)T-22,GM,0,J,J,175906080
Iron Helix (USA),IRON HELIX,IRON HELIX,T-124015,1994.AUG,SEGA GENESIS,(C)T-124,GM,0,J6,U,454556928
