No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,CRC32,MD5,SHA1,SHA256
Action Replay (Europe) (Program) (Unl),SECTOR SECURED,(C)DATEL 1991.D,ACTION REPLAY,ACTION REPLAY,GM,31415926-54,(unknown),38057 (0x94A9),JUE,95FF7C3E,a0028b3043f9d59ceeb03da5b073b30d,1e0f246826be4ebc7b99bb3f9de7f1de347122e5,bd9fd9a63b6a631b57bfb952913b1236851ada491343e72f06b9d8f96edb544e
"Addams Family Values (Europe) (En,Fr,De)",SEGA MEGA DRIVE,(C)T-16 1995.MAR,ADDAMS FAMILY VALUES,ADDAMS FAMILY VALUES,GM,T-164046-00,(unknown),25585 (0x63F1),8,B906B992,e33d811ef2ad7c6c826b2668415ab678,b7f138e7658a0151ad154ddaed18aea10e114c46,4d56acdb7a419c464b0e612dce0ef3f3ced7665d40de8478264b0492d39f0da3
"Addams Family Values (USA) (En,Fr,De) (Proto)",SEGA GENESIS,(C)T-00 1993.AUG,AFV,AFV,GM,T-XXXXXX-XX,(unknown),50969 (0xC719),U,B360704B,b7976919f5c2b58002b8e248e522618e,256c02bb1aea967c44b44edc8ee7f59c7ccd3809,f2e73d8a57a1c412c2dd9082f341b5b82cfda8737698960a1b12aa77c450a001
"Addams Family, The (USA, Europe)",SEGA GENESIS,(C)T-81 1993.OCT,ADDAMS FAMILY,ADDAMS FAMILY,GM,T-081236,0,57455 (0xE06F),UE,71F58614,eba5f964addea18b70336d292a08698d,1cd7ac493a448c7486eefde2300240c3675986a9,674adedc52f71cbe1fb9ebd2cf567ad13d6d0bcf1aeb330c4efb9c165c1356bf
"Addams Family, The (USA, Europe) (Beta)",SEGA MEGA DRIVE,(C)SEGA 1993.AUG,ADDAMS FAMILY,ADDAMS FAMILY,G,GM ????????-??,(unknown),0 (0x0000),U,2803A5CA,f734e0d527d77396ceec2ef754338642,34deb427637d0458ce229b4fe3e55ad7901a0a34,d33b9e32afa7d6bf17280f809e5f4876f6f27e35733d3f366accc0b0e0a1f409
Advanced Busterhawk Gley Lancer (Japan),SEGA MEGA DRIVE,(C)T-25 1992.APR,グレイランサー,GLEYLANCER,GM,T-25123,0,21400 (0x5398),J,42CF9B5B,8bd4a97783cda077c342173df0a9b51e,529d88f96eb7082bfbc00be3f42a1b2e365c34b7,fe508fd09187af3296d840ac5af66f3df68ddf4beb098c7a34037c0c818204c5
Advanced Busterhawk Gley Lancer (Japan) (Aftermarket) (Unl),SEGA MEGA DRIVE,(C)T-25 1992.APR,グレイランサー,GLEYLANCER,GM,T-25123,0,61376 (0xEFC0),J,79CE299F,d32d0f772ba8d8b51dd78fd1aa37ef9b,04c2103d1c66f876e99aa2150af9263fb7dd7fbe,5d87da3283f5345a9a819985132bd988e745c6bc1e23037602cda606540c1994
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Beta) (1991-03-07),SEGA MEGA DRIVE,(C)SEGA 1991.FEB,SUPER DAISENRYAKU,(unknown),GM,00000000-00,(unknown),4660 (0x1234),J,6CE17E36,f497a6eb25c8bb08a12b85721b997b03,423fdfb037c4a3e6cb97e49bc1cce6f08bd77475,b65fc7d78b78240772670427e4169b6ea2eb3cb2fe5439d52405b392ce68ca1e
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A),SEGA MEGA DRIVE,(C)SEGA 1991.MAR,ADVANCED DAISENRYAKU,(unknown),GM,00005505-01,(unknown),53819 (0xD23B),J,E0D5E18A,d1c8b8474a9c47c5a2457b9549dee728,842430c0465d810576e75851023929fec873580d,47360b90ee077c2df7bb8f8bb6f46bbea25d7e5b1fd975cdf507c1048d80b062
"Adventures of Batman & Robin, The (Europe)",SEGA MEGA DRIVE,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,19630 (0x4CAE),E,355E8C39,b8f8b29cd48645d09340e4a4cd4b51e0,c08c48236c38263df8ea38a5820d16644bddb1a2,86eb1ca0374f799e9f332985ddd3e9cd268197a51d2c917338046f9230d04765
"Adventures of Batman & Robin, The (USA)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,50785 (0xC661),JU,0CAAA4AC,5b1bcb3793262d2d0282b49e0c2ee053,1da4b3fc92a6572e70d748ebad346aeb291f89f3,9343edb48b8c6afcf44536875d5430548737599bbc49ea93cc5cf430b18ed0aa
