TOSEC Name,Game Title,Product Number (GameID),Version,Build Date,Playable Regions,Area Symbols,Device Info,Peripherals,Company,Hardware ID,Maker ID,Boot Filename,File Size (bytes)
Resident Evil 3 - Nemesis v1.000 (2000)(Virgin)(PAL)[!],RESIDENT EVIL3,T7021D  05,V1.000,20001114,Europe,E,GD-ROM1/1,0799A10,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1232448
Revive... - Sosei v1.001 (1999)(Data East)(JP)[!],REVIVE,T1301M,V1.001,19990921,Japan/Asia,J,GD-ROM1/1,799810,SEGA LC-T-13,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1119552
Re-Volt v1.001 (1999)(Acclaim)(PAL)(M5)[!],REVOLT,T8107D  50,V1.001,19991210,Europe,E,GD-ROM1/1,039F810,SEGA LC-T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1418256
Re-Volt v1.003 (2000)(Acclaim)(JP)(en)[!],RE-VOLT,T-8101M,V1.003,20000306,Japan/Asia,J,GD-ROM1/1,07BB810,SEGA LC-T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1996848
Re-Volt v1.010 (1999)(Acclaim)(US)[!][1S],RE-VOLT,T-8109N,V1.010,19991130,USA/Canada,U,GD-ROM1/1,1FFF810,T-81,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1418256
Rez v1.003 (2001)(Sega)(JP)(M6)[!],REZ,HDR-0178,V1.003,20011004,Japan/Asia,J,GD-ROM1/1,0019A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1989792
Rez v1.003 (2001)(Sega)(PAL)(M6)[!],REZ,MK-5119250,V1.003,20011004,Europe,E,GD-ROM1/1,0019A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1989792
"Ring, The - Terror's Realm v1.002 (2000)(Infogrames)(US)[!]",THE RING,T15122N,V1.002,20000811,USA/Canada,U,GD-ROM1/1,0799A00,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1996848
"Ring, The v1.004 (2000)(Asmik Ace - Kadokawa Shoten)(JP)[!]",THE RING,T27902M,V1.004,20000120,Japan/Asia,J,GD-ROM1/1,0799A00,SEGA LC-T-279,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1996848
Rippin' Riders Snowboarding v1.001 (1999)(Sega)(US)[!],RIPPIN' RIDERS,MK-51010,V1.001,19990928,USA/Canada,U,GD-ROM1/1,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
Roadsters v1.007 (2000)(Titus)(US)[!],ROADSTERS RC7,T22901N,V1.007,20000213,USA/Canada,U,GD-ROM1/1,0799A00,SEGA LC-T-229,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1420608
Roadsters v1.010 (2000)(Titus)(PAL)(M6)[!],ROADSTERS,T22901D 50,V1.010,20000501,Europe,E,GD-ROM1/1,07FBA00,SEGA LC-T-229,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,16071216
Roommania #203 v1.007 (1999)(Sega)(JP)[!],ROOMMANIA203,HDR-0044,V1.007,19991223,Japan/Asia,J,GD-ROM1/1,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,10012464
Roommate Asami - Okusama ha Joshikousei - Director's Edition v1.001 (2002)(Datam Polystar)(JP)[!],ROOMMATE ASAMI - OKUSAMA HA JYOSIKOUSEI -,T19508M,V1.001,20020911,Japan/Asia,J,GD-ROM1/1,0799A10,SEGA LC-T-195,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,2558976
Roommate Novel - Yuka Sato v1.002 (2000)(Datam Polystar)(JP)[!],ROOMMATENOVEL - YUKA SATO -,T19502M,V1.002,20000419,Japan/Asia,J,GD-ROM1/1,0199A10,SEGA LC-T-195,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,7886256
Run=Dim as Black Soul v1.001 (2001)(Idea Factory)(JP)[!],RUNDIM AS BLACK SOUL,T46201M,V1.001,20010712,Japan/Asia,J,GD-ROM1/1,799810,SEGA LC-T-462,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
Rune Caster v1.007 (2000)(Noisia)(JP)[!],RUNE CASTER,T40001M,V1.007,20000710,Japan/Asia,J,GD-ROM1/1,0799A00,SEGA LC-T-400,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
Rune Jade v1.027 (2000)(Hudson)(JP)[!][1M3],RUNE JADE,T14304M,V1.027,20000712,Japan/Asia,J,GD-ROM1/1,2799811,SEGA LC-T-143,SEGA SEGAKATANA,SEGA ENTERPRISES,0WINCEOS.BIN,1058400
Sakatsuku Tokudai-gou - J.League Pro Soccer Club o Tsukurou! v1.002 (2000)(Sega)(JP)[!],SAKATUKUTOKUDAIGO,HDR-0126,V1.002,20001130,Japan/Asia,J,GD-ROM1/1,2199810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,5597760
Sakatsuku Tokudai-gou - J.League Pro Soccer Club o Tsukurou! v1.003 (2000)(Sega)(JP)[!],SAKATUKUTOKUDAIGO,HDR-0126,V1.003,20001209,Japan/Asia,J,GD-ROM1/1,2199810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,5597760
Sakatsuku Tokudai-gou 2 - J.League Pro Soccer Club o Tsukurou! v1.006 (2001)(Sega)(JP)[!],SAKATUKUTOKUDAIGO2,HDR-0183,V1.006,20011111,Japan/Asia,J,GD-ROM1/1,2199810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,5597760
Sakura Momoko Gekijou Coji Coji v1.002 (2000)(Marvelous Entertainment)(JP)[!],COJI COJI,T40802M,V1.002,20000308,Japan/Asia,J,GD-ROM1/1,0799C10,SEGA LC-T-408,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Sakura Taisen 2 v1.002 (2000)(Sega)(JP)(Disc 1 of 3)[!],SAKURA WARS 2,HDR-0082,V1.002,20000819,Japan/Asia,J,GD-ROM1/4,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1_SK2.BIN,1058400
Sakura Taisen 2 v1.002 (2000)(Sega)(JP)(Disc 2 of 3)[!],SAKUWA WARS 2,HDR-0082,V1.002,20000819,Japan/Asia,J,GD-ROM2/4,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1_SK2.BIN,1058400
Sakura Taisen 2 v1.002 (2000)(Sega)(JP)(Disc 3 of 3)[!],SAKURA WARS 2,HDR-0082,V1.002,20000819,Japan/Asia,J,GD-ROM3/4,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1_SK2.BIN,1058400
Sakura Taisen 2 v1.005 (2000)(Sega)(JP)(Disc 1 of 3)[!],SAKURA WARS 2,HDR-0082,V1.005,20000909,Japan/Asia,J,GD-ROM5/7,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1_SK2.BIN,1058400
Sakura Taisen 2 v1.005 (2000)(Sega)(JP)(Disc 2 of 3)[!],SAKURA WARS 2,HDR-0082,V1.005,20000909,Japan/Asia,J,GD-ROM6/7,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1_SK2.BIN,1058400
Sakura Taisen 2 v1.005 (2000)(Sega)(JP)(Disc 3 of 3)[!],SAKURA WARS 2,HDR-0082,V1.005,20000909,Japan/Asia,J,GD-ROM7/7,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1_SK2.BIN,1058400
