Redump Name,Game Title,Product ID,Version,Hardware,Marker ID,Build Date,Disc Type,Peripherals,Region
"Incredible Hulk, The - The Pantheon Saga (USA)",INCREDIBLEHULK2A,T-7905H,V1.003,SEGA SEGASATURN,SEGA TP T-079,19961203,CD-1/1,J,U
"Independence Day - The Game (Europe) (En,Fr,De,Es,It,Sv)",INDEPENDENCE DAY,T-16104H,V1.000,SEGA SEGASATURN,SEGA TP T-161,19970522,CD-1/1,J,E
Independence Day (USA),INDEPENDENCE DAY,T-16104H,V1.000,SEGA SEGASATURN,SEGA TP T-161,19970217,CD-1/1,J,UT
International Victory Goal (Europe),SEGA            INTERNATIONAL   VICTORY GOAL,MK-81105,V1.005,SEGA SEGASATURN,SEGA ENTERPRISES,19950411,CD-1/1,J,E
Ippatsu Gyakuten - Gambling King e no Michi (Japan),IPPATSU GYAKUTEN,T-29602G,V1.100,SEGA SEGASATURN,SEGA TP T-296,19960416,CD-1/1,J,J
Irem Arcade Classics (Japan),IREM AC,T-22403G,V1.006,SEGA SEGASATURN,SEGA TP T-224,19960319,CD-1/1,J,J
Iron Man & X-O Manowar in Heavy Metal (Europe),IRONMAN,T-8119H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19961005,CD-1/1,JT,E
Iron Man & X-O Manowar in Heavy Metal (Japan),IRONMAN_XO,T-8115G,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960925,CD-1/1,JT,J
Iron Man & X-O Manowar in Heavy Metal (USA),IRONMAN_XO,T-8119H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960918,CD-1/1,JT,U
Iron Storm (USA),IRON STORM,T-12701H,V1.000,SEGA SEGASATURN,SEGA TP T-127,19960329,CD-1/1,JM,U
Ishin no Arashi (Japan),ISHIN NO ARASHI,T-7645G,V1.000,SEGA SEGASATURN,SEGA TP T-76,19970818,CD-1/1,J,J
Isto E Zico - Zico no Kangaeru Soccer (Japan),ESTO E ZICO,T-18802G,V1.000,SEGA SEGASATURN,SEGA TP T-188,19960229,CD-1/1,J,J
J. B. Harold - Blue Chicago Blues (Japan) (Disc 1),BLUE_CHICAGO_B,T-5302G,V0.600,SEGA SEGASATURN,SEGA TP T-53,19950922,CD-1/2,J,J
J. B. Harold - Blue Chicago Blues (Japan) (Disc 2),BLUE_CHICAGO_B,T-5302G,V0.600,SEGA SEGASATURN,SEGA TP T-53,19950922,CD-2/2,J,J
J.League Go Go Goal! (Japan),GO GO GOAL,T-3602G,V1.004,SEGA SEGASATURN,SEGA TP T-36,19970506,CD-1/1,JET,J
J.League Jikkyou Honoo no Striker (Japan) (1M),F-STRIKER-98,T-9528G,V1.000,SEGA SEGASATURN,SEGA TP T-95,19980112,CD-1/1,JT,J
J.League Jikkyou Honoo no Striker (Japan) (2M),F-STRIKER-98,T-9528G,V1.000,SEGA SEGASATURN,SEGA TP T-95,19980112,CD-1/1,JT,J
J.League Pro Soccer Club o Tsukurou! (Japan),J LEAGUE PRO SOCCOER CLUB WO TSUKUROU!,GS-9034,V1.100,SEGA SEGASATURN,SEGA ENTERPRISES,19960207,CD-1/1,J,J
J.League Pro Soccer Club o Tsukurou! (Japan) (Rev A),J LEAGUE PRO SOCCOER CLUB WO TSUKUROU!,GS-9034,V1.110,SEGA SEGASATURN,SEGA ENTERPRISES,19960229,CD-1/1,J,J
J.League Pro Soccer Club o Tsukurou! (Japan) (Rev B),J LEAGUE PRO SOCCOER CLUB WO TSUKUROU!,GS-9034,V1.120,SEGA SEGASATURN,SEGA ENTERPRISES,19960326,CD-1/1,J,J
J.League Pro Soccer Club o Tsukurou! 2 (Japan) (1M),J-LEAGUE PRO SOCCER CLUB WO TSUKUROU 2,GS-9168,V1.007,SEGA SEGASATURN,SEGA ENTERPRISES,19971024,CD-1/1,J,J
J.League Pro Soccer Club o Tsukurou! 2 (Japan) (2M),J-LEAGUE PRO SOCCER CLUB WO TSUKUROU 2,GS-9168,V1.007,SEGA SEGASATURN,SEGA ENTERPRISES,19971024,CD-1/1,J,J
J.League Pro Soccer Club o Tsukurou! 2 (Japan) (3M),J-LEAGUE PRO SOCCER CLUB WO TSUKUROU 2,GS-9168,V1.007,SEGA SEGASATURN,SEGA ENTERPRISES,19971024,CD-1/1,J,J
J.League Pro Soccer Club o Tsukurou! 2 (Japan) (4M),J-LEAGUE PRO SOCCER CLUB WO TSUKUROU 2,GS-9168,V1.007,SEGA SEGASATURN,SEGA ENTERPRISES,19971024,CD-1/1,J,J
J.League Pro Soccer Club o Tsukurou! 2 (Japan) (Rev C) (32M),J-LEAGUE PRO SOCCER CLUB WO TSUKUROU 2,GS-9168,V1.015,SEGA SEGASATURN,SEGA ENTERPRISES,19980311,CD-1/1,J,J
J.League Pro Soccer Club o Tsukurou! 2 (Japan) (Rev D) (41M),J-LEAGUE PRO SOCCER CLUB WO TSUKUROU 2,GS-9168,V1.016,SEGA SEGASATURN,SEGA ENTERPRISES,19980506,CD-1/1,J,J
"J.League Victory Goal '96 (Japan) (1M, 3M)",VICTORY GOAL96,GS-9048,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19960304,CD-1/1,JT,J
J.League Victory Goal '96 (Japan) (2M),VICTORY GOAL96,GS-9048,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19960304,CD-1/1,JT,J
J.League Victory Goal '97 (Japan),VICTORY GOAL97,GS-9140,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19970217,CD-1/1,JT,J
Jantei Battle Cos-Player - Original Genga-shuu (Japan),JANTEI BATTLE COSPLAYER,6106553,V1.000,SEGA SEGASATURN,SEGA TP T-346,19970307,CD-1/1,J,J
Jantei Battle Cos-Player (Japan) (Disc 1),JANTEI BATTLE COSPLAYER,T-34601G,V1.004,SEGA SEGASATURN,SEGA TP T-346,19970304,CD-1/2,J,J
Jantei Battle Cos-Player (Japan) (Disc 2) (Making Disc),JANTEI BATTLE COSPLAYER,T-34601G,V1.000,SEGA SEGASATURN,SEGA TP T-346,19970303,CD-2/2,J,J
